fid,TreeID,Family,Genus,species,Xutm,Yutm,arbre_plus_proche,sondage_N,depth_sup,Family_2,Genus_2,species_2,Xutm_2,Yutm_2
"129","142612",Fabaceae,Inga,loubryana,285458.690443275,581572.04665,"142580",14.8,"85",Clusiaceae,,"sp,1",285456.0913184,581569.9136
"130","142613",Chrysobalanaceae,Leptobalanus,sprucei,285459.671794375,581570.87395,"142580",14.8,"85",Clusiaceae,,"sp,1",285456.0913184,581569.9136
"131","142614",Myristicaceae,Iryanthera,hostmannii,285457.26301795,581569.84365,"142580",14.8,"85",Clusiaceae,,"sp,1",285456.0913184,581569.9136
"132","142615",Sapotaceae,Pouteria,sagotiana,285458.541444725,581569.07315,"142580",14.8,"85",Clusiaceae,,"sp,1",285456.0913184,581569.9136
"133","142617",Myristicaceae,Iryanthera,hostmannii,285457.7744818,581574.38955,"142580",14.8,"85",Clusiaceae,,"sp,1",285456.0913184,581569.9136
"134","142632",Chrysobalanaceae,Licania,canescens,285457.106639675,581565.50795,"142580",14.8,"85",Clusiaceae,,"sp,1",285456.0913184,581569.9136
"135","142638",Ochnaceae,Quiina,integrifolia,285457.0975418,581565.1914,"142580",14.8,"85",Clusiaceae,,"sp,1",285456.0913184,581569.9136
"136","142640",Myristicaceae,Iryanthera,hostmannii,285457.0958751,581566.23705,"142580",14.8,"85",Clusiaceae,,"sp,1",285456.0913184,581569.9136
"137","142641",Sapotaceae,Pouteria,hispida,285456.067341825,581566.87265,"142580",14.8,"85",Clusiaceae,,"sp,1",285456.0913184,581569.9136
"138","142642",Myrtaceae,Eugenia,exaltata,285459.7925355,581567.353,"142580",14.8,"85",Clusiaceae,,"sp,1",285456.0913184,581569.9136
"139","142908",Fabaceae,Inga,loubryana,285475.9788872,581503.64505,"142097",14.2,"70",Meliaceae,,surinamensis,285471.880797125,581503.36705
"140","142909",Vochysiaceae,Qualea,rosea,285475.046681,581504.3092,"142097",14.2,"70",Meliaceae,,surinamensis,285471.880797125,581503.36705
"141","142910",Annonaceae,Anaxagorea,dolichocarpa,285475.276564675,581504.58685,"142097",14.2,"70",Meliaceae,,surinamensis,285471.880797125,581503.36705
"142","142911",Fabaceae,Parkia,velutina,285475.504642525,581505.91015,"142097",14.2,"70",Meliaceae,,surinamensis,285471.880797125,581503.36705
"143","142915",Vochysiaceae,Qualea,rosea,285474.177815,581507.1892,"142097",14.2,"70",Meliaceae,,surinamensis,285471.880797125,581503.36705
"144","143582",Clusiaceae,Garcinia,madruno,285481.1974371,581580.3101,"144259",14.7,"93",Peraceae,,schomburgkiana,285485.7421145,581578.419
"145","143583",Moraceae,Naucleopsis,guianensis,285481.99429025,581580.4425,"144259",14.7,"93",Peraceae,,schomburgkiana,285485.7421145,581578.419
"146","143584",Sapotaceae,Pouteria,bangii,285482.6965911,581579.5007,"144259",14.7,"93",Peraceae,,schomburgkiana,285485.7421145,581578.419
"147","143585",Annonaceae,Anaxagorea,dolichocarpa,285481.4868506,581579.3501,"144259",14.7,"93",Peraceae,,schomburgkiana,285485.7421145,581578.419
"148","143586",Vochysiaceae,Qualea,rosea,285481.5447333,581579.1581,"144259",14.7,"93",Peraceae,,schomburgkiana,285485.7421145,581578.419
"149","143587",Myrtaceae,Eugenia,exaltata,285481.4395815,581578.813,"144259",14.7,"93",Peraceae,,schomburgkiana,285485.7421145,581578.419
"150","143588",Sapotaceae,Pouteria,flavilatex,285483.52381275,581578.49145,"144259",14.7,"93",Peraceae,,schomburgkiana,285485.7421145,581578.419
"151","143589",Annonaceae,Unonopsis,stipitata,285483.525254,581577.4458,"144259",14.7,"93",Peraceae,,schomburgkiana,285485.7421145,581578.419
"152","143590",Annonaceae,Anaxagorea,dolichocarpa,285481.441034975,581577.76735,"144259",14.7,"93",Peraceae,,schomburgkiana,285485.7421145,581578.419
"153","143609",Annonaceae,Oxandra,asbeckii,285481.885781875,581575.59825,"144259",14.7,"93",Peraceae,,schomburgkiana,285485.7421145,581578.419
