TreeID,Family,Genus,species,DBH,Xutm,Yutm,arbre_plus_proche,sondage_N,depth_sup,Family_2,Genus_2,species_2,Xutm_2,Yutm_2
"140697",Annonaceae,Anaxagorea,dolichocarpa,5.5,285419.101082025,581552.11085,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140698",Sapotaceae,Ecclinusa,ramiflora,1.5,285419.369043625,581552.60905,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140699",Euphorbiaceae,Mabea,piriri,4.1,285420.270885525,581553.08655,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140700",Chrysobalanaceae,Couepia,habrantha,3,285420.636795225,581552.56765,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140701",Annonaceae,Oxandra,asbeckii,4.1,285420.212903675,581553.27855,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140703",Sapotaceae,Pouteria,gonggrijpii,3.4,285419.03211975,581553.03195,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140704",Lecythidaceae,Gustavia,hexapetala,6.8,285418.03231835,581553.57155,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140705",Fabaceae,Inga,loubriana,1.4,285418.673243425,581554.91305,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140706",Linaceae,Hebepetalum,humiriifolium,1.1,285418.231322775,581554.99085,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140707",Annonaceae,Anaxagorea,dolichocarpa,5.8,285418.0863629,581555.47085,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140708",Clusiaceae,Tovomita,"sp,11 CAY-ATDN",1.2,285418.2783323,581555.52795,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140709",Cordiaceae,Cordia,sagotii,1.1,285418.999197375,581555.21925,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140710",Annonaceae,Unonopsis,stipitata,1.2,285418.633279575,581555.73815,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140711",Lecythidaceae,Eschweilera,coriacea,2.1,285419.11320345,581555.8809,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140712",Annonaceae,Xylopia,nitida,2.2,285419.3271121,581554.4798,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140713",Annonaceae,Unonopsis,stipitata,1.3,285420.87186535,581555.25315,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140714",Myristicaceae,Iryanthera,sagotiana,1.4,285420.565888,581554.5344,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140716",Simaroubaceae,Homalolepis,cedron,1.6,285420.99683925,581555.1857,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140717",Clusiaceae,Garcinia,madruno,1,285422.9236063,581557.1189,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140718",Celastraceae,Maytenus,oblongata,1.2,285422.98351225,581555.88125,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140719",Lecythidaceae,Lecythis,persistens,2.1,285423.1954494,581555.5258,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140720",Chrysobalanaceae,Licania,alba,1.5,285423.86733495,581555.72565,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140721",Myristicaceae,Iryanthera,hostmannii,1.2,285424.5753117,581557.1917,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140722",Myrtaceae,Eugenia,coffeifolia,1.1,285426.945940375,581558.00145,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140725",Sapindaceae,Talisia,mollis,4.5,285427.36076,581556.974,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140727",Annonaceae,Oxandra,asbeckii,10.5,285427.94236535,581554.00835,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140728",Fabaceae,Bocoa,prouacensis,2.3,285424.0831323,581553.2789,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140729",Clusiaceae,Symphonia,"sp,1",1.8,285424.939882625,581552.17365,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140730",Annonaceae,Oxandra,asbeckii,3.5,285424.2390282,581552.0698,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140731",Annonaceae,Oxandra,asbeckii,2.7,285421.25970095,581553.27605,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140732",Malvaceae,Theobroma,guianense,2.3,285421.230710775,581553.37205,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140733",Annonaceae,Anaxagorea,dolichocarpa,6.4,285421.54059175,581551.9995,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140734",Fabaceae,Dicorynia,guianensis,4.9,285422.54036075,581551.4599,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140735",Melastomataceae,Mouriri,huberi,1.8,285421.984455325,581550.87605,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140738",Fabaceae,Inga,sarmentosa,1.2,285423.453153,581551.2083,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140739",Cordiaceae,Cordia,nodosa,3.2,285421.9296312,581554.52155,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140742",Fabaceae,Dicorynia,guianensis,1.2,285418.8581688,581553.60795,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140753",Metteniusaceae,Poraqueiba,guianensis,14.64225476,285420.90792445,581556.51935,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140798",Chrysobalanaceae,Hymenopus,latistipulus,1.3,285429.9778529,581538.6066,"140838",14.4,"73",Fabaceae,,prouacensis,285434.102125125,581530.83595
"140799",Chrysobalanaceae,Licania,canescens,1.7,285431.167491625,581539.16975,"140838",14.4,"73",Fabaceae,,prouacensis,285434.102125125,581530.83595
"140803",Melastomataceae,Mouriri,crassifolia,2.1,285430.70566285,581539.6601,"140838",14.4,"73",Fabaceae,,prouacensis,285434.102125125,581530.83595
"140805",Meliaceae,Guarea,costata,2.8,285429.08513445,581538.44565,"140838",14.4,"73",Fabaceae,,prouacensis,285434.102125125,581530.83595
"140813",Chrysobalanaceae,Couepia,habrantha,23.71408652,285432.15617925,581539.35925,"140838",14.4,"73",Fabaceae,,prouacensis,285434.102125125,581530.83595
"140815",Malvaceae,Theobroma,subincanum,1.1,285418.93662315,581563.04735,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140816",Chrysobalanaceae,Couepia,guianensis,2.3,285427.296656375,581534.67025,"140838",14.4,"73",Fabaceae,,prouacensis,285434.102125125,581530.83595
"140818",Meliaceae,Trichilia,schomburgkii,3.4,285426.536954875,581530.25925,"140838",14.4,"73",Fabaceae,,prouacensis,285434.102125125,581530.83595
"140819",Metteniusaceae,Poraqueiba,guianensis,6,285427.5166011,581530.1322,"140838",14.4,"73",Fabaceae,,prouacensis,285434.102125125,581530.83595
"140820",Chrysobalanaceae,Licania,canescens,1.2,285427.1977034,581531.1882,"140838",14.4,"73",Fabaceae,,prouacensis,285434.102125125,581530.83595
"140820",Chrysobalanaceae,Licania,canescens,1.5,285427.1977034,581531.1882,"140838",14.4,"73",Fabaceae,,prouacensis,285434.102125125,581530.83595
"140821",Myrtaceae,Eugenia,exaltata,1.4,285426.842833,581530.978,"140838",14.4,"73",Fabaceae,,prouacensis,285434.102125125,581530.83595
"140822",Myristicaceae,Iryanthera,sagotiana,1.9,285430.80137515,581529.6447,"140838",14.4,"73",Fabaceae,,prouacensis,285434.102125125,581530.83595
"140823",Lecythidaceae,Eschweilera,coriacea,9.8,285427.12871915,581532.1093,"140838",14.4,"73",Fabaceae,,prouacensis,285434.102125125,581530.83595
"140824",Sapotaceae,Pouteria,jariensis,2.1,285425.504271,581532.98615,"140838",14.4,"73",Fabaceae,,prouacensis,285434.102125125,581530.83595
"140830",Lauraceae,Aniba,guianensis,9.4,285429.40992955,581534.2527,"140838",14.4,"73",Fabaceae,,prouacensis,285434.102125125,581530.83595
